intercept,i,j,k,l
1,6.95113,0.01054,58.80219,11.94018
1,3.60559,0.01689,88.14586,5.57064
1,0.07813,0.00731,50.87663,0.15006
1,1.11911,0.02244,121.90541,2.86643
1,4.32436,0.05503,234.48919,20.60114
1,3.16952,0.07553,292.658,4.7534
1,0.67736,0.0321,156.06791,1.72219
1,0.25286,0.02005,135.32498,0.51906
1,0.35274,0.00161,20.33526,0.19045
1,1.62091,0.0472,158.292,5.5089
1,2.41577,0.05977,245.8952,3.64729
1,0.27424,0.00389,38.80437,0.37912
1,0.53227,0.01289,86.60879,0.764
1,0.20844,0.00422,39.12866,0.24461
1,0.54338,0.00317,32.93977,0.22663
1,0.44326,0.00619,51.97525,0.41697
1,0.7106,0.00482,45.72286,0.79709
1,0.85467,0.01879,116.19155,0.86361
1,0.55924,0.00195,23.37767,0.27402
1,2.64908,0.01833,100.34413,3.86426
1,0.45204,0.0083,68.98351,0.74398
1,0.30196,0.00091,14.49939,0.66362
1,0.45178,0.00456,45.69979,0.21998
1,0.164,0.019,115.88065,0.5266
1,2.271,0.02436,135.93945,3.58516
1,1.332,0.02184,131.9221,1.185
1,0.675,0.00224,26.75304,0.38246
1,2.081,0.02172,125.71717,2.67342
1,1.251,0.00999,68.42886,1.20814
1,1.215,0.00473,36.39133,0.98479
1,1.501,0.05494,208.56444,5.78708
1,1.792,0.00957,63.70762,3.36164
1,4.581,0.05484,213.03311,10.38835
1,0.802,0.0092,69.94229,1.57918
1,0.118,0.00229,25.03969,0.26377
1,1.755,0.02343,139.7232,3.09874
1,2.941,0.01209,69.88784,4.17705
1,0.547,0.00862,65.84005,1.69458
1,0.217,0.0038,33.78913,0.61484
1,0.324,0.0172,123.50538,0.78924
1,0.579,0.01556,90.39951,1.03415
1,0.349,0.00313,33.3154,0.34869
1,0.62545,0.046,3.50631,0.13365
1,1.25335,0.03,2.51278,0.70198
1,1.53461,0.01482,112.71513,1.99504
1,1.53123,0.03227,165.38579,2.92125
1,0.14937,0.00442,41.27511,0.35635
1,9.87405,0.12774,356.74611,40.53238
1,2.79934,0.0643,251.94819,7.55781
1,0.37926,0.01367,97.36766,0.96776
